,season,id,name,position,team,conference,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns
1353,2024,4693331,Cam Miller,QB,North Dakota State,,0.476,0.897,0.203,0.383,0.477,0.714,0.42,0.64
1354,2024,4693333,RaJa Nelson,WR,North Dakota State,,0.066,0.146,0.01,0.042,0.098,0.067,0.049,0.115
1355,2024,4693341,Joe Stoffel,TE,North Dakota State,,0.039,0.095,0.002,0.037,0.033,0.052,0.036,0.047
1356,2024,4693342,Tyler Terhark,WR,North Dakota State,,0.028,0.071,0.0,0.033,0.016,0.045,0.028,0.028
1357,2024,4693370,Riley Nowakowski,TE,Wisconsin,B1G,0.024,0.049,0.0,0.029,0.027,0.011,0.025,0.022
1358,2024,4693603,Kobe Warden,WR,North Alabama,,0.068,0.115,0.02,0.03,0.08,0.129,0.056,0.092
1359,2024,4693615,Charlie Spegal,RB,Ball State,MAC,0.03,0.0,0.066,0.028,0.04,0.023,0.037,0.015
1360,2024,4693740,Kahleil Jackson,WR,Florida,SEC,0.037,0.069,0.0,0.037,0.063,0.0,0.029,0.053
1361,2024,4693798,Koali Nishigaya,WR,Hawai'i,MWC,0.021,0.032,0.0,0.024,0.029,0.0,0.016,0.028
1362,2024,4693817,Micah Davis,WR,Ole Miss,SEC,0.067,0.029,0.102,0.081,0.06,0.06,0.071,0.056
1363,2024,4693861,Myles Crawley,QB,Grambling,,0.4,0.713,0.077,0.288,0.424,0.578,0.308,0.534
1364,2024,4693881,Kisean Johnson,WR,Western Kentucky,CUSA,0.101,0.179,0.01,0.113,0.099,0.085,0.099,0.105
1365,2024,4693901,Roy Alexander,WR,Incarnate Word,,0.122,0.216,0.012,0.122,0.112,0.142,0.123,0.122
1366,2024,4693925,Jackson Parker,WR,UAlbany,,0.037,0.06,0.006,0.023,0.045,0.058,0.027,0.053
1367,2024,4694023,Nate Lussier,QB,Brown,,0.026,0.0,0.056,0.015,0.037,0.032,0.036,0.0
