homeTeam,awayTeam,spread,formattedSpread,homeScore,awayScore,win_margin,cover_margin,spread_result
Massachusetts,Temple,2.5,Temple -2.5,10.0,42.0,32.0,29.5,Temple covered
Massachusetts,Temple,1.5,Temple -1.5,10.0,42.0,32.0,30.5,Temple covered
Virginia,Coastal Carolina,-12.5,Virginia -12.5,48.0,7.0,41.0,28.5,Virginia covered
Virginia,Coastal Carolina,-13.5,Virginia -13.5,48.0,7.0,41.0,27.5,Virginia covered
Virginia,Coastal Carolina,-13.5,Virginia -13.5,48.0,7.0,41.0,27.5,Virginia covered
Texas A&M,UTSA,-21.5,Texas A&M -21.5,42.0,24.0,18.0,-3.5,Texas A&M did NOT cover
Texas A&M,UTSA,-23.5,Texas A&M -23.5,42.0,24.0,18.0,-5.5,Texas A&M did NOT cover
Texas A&M,UTSA,-24.0,Texas A&M -24.0,42.0,24.0,18.0,-6.0,Texas A&M did NOT cover
Clemson,LSU,-3.5,Clemson -3.5,10.0,17.0,-7.0,-10.5,Clemson did NOT cover | OUTRIGHT UNDERDOG WIN: LSU
Clemson,LSU,-5.5,Clemson -5.5,10.0,17.0,-7.0,-12.5,Clemson did NOT cover | OUTRIGHT UNDERDOG WIN: LSU
Clemson,LSU,-5.5,Clemson -5.5,10.0,17.0,-7.0,-12.5,Clemson did NOT cover | OUTRIGHT UNDERDOG WIN: LSU
Michigan,New Mexico,-36.5,Michigan -36.5,34.0,17.0,17.0,-19.5,Michigan did NOT cover
Michigan,New Mexico,-34.5,Michigan -34.5,34.0,17.0,17.0,-17.5,Michigan did NOT cover
Michigan,New Mexico,-34.5,Michigan -34.5,34.0,17.0,17.0,-17.5,Michigan did NOT cover
USC,Missouri State,-34.5,USC -34.5,73.0,13.0,60.0,25.5,USC covered
USC,Missouri State,-36.5,USC -36.5,73.0,13.0,60.0,23.5,USC covered
USC,Missouri State,-36.5,USC -36.5,73.0,13.0,60.0,23.5,USC covered
Utah State,UTEP,-3.5,Utah State -3.5,28.0,16.0,12.0,8.5,Utah State covered
Utah State,UTEP,-4.5,Utah State -4.5,28.0,16.0,12.0,7.5,Utah State covered
Utah State,UTEP,-5.5,Utah State -5.5,28.0,16.0,12.0,6.5,Utah State covered
Ole Miss,Georgia State,-38.5,Ole Miss -38.5,63.0,7.0,56.0,17.5,Ole Miss covered
Ole Miss,Georgia State,-33.5,Ole Miss -33.5,63.0,7.0,56.0,22.5,Ole Miss covered
Ole Miss,Georgia State,-33.5,Ole Miss -33.5,63.0,7.0,56.0,22.5,Ole Miss covered
Louisiana,Rice,-14.5,Louisiana -14.5,12.0,14.0,-2.0,-16.5,Louisiana did NOT cover | OUTRIGHT UNDERDOG WIN: Rice
Louisiana,Rice,-9.5,Louisiana -9.5,12.0,14.0,-2.0,-11.5,Louisiana did NOT cover | OUTRIGHT UNDERDOG WIN: Rice
Louisiana,Rice,-9.5,Louisiana -9.5,12.0,14.0,-2.0,-11.5,Louisiana did NOT cover | OUTRIGHT UNDERDOG WIN: Rice
Texas State,Eastern Michigan,-14.0,Texas State -14,52.0,27.0,25.0,11.0,Texas State covered
Texas State,Eastern Michigan,-13.5,Texas State -13.5,52.0,27.0,25.0,11.5,Texas State covered
Texas State,Eastern Michigan,-14.0,Texas State -14.0,52.0,27.0,25.0,11.0,Texas State covered
