player_id,player_name,team,conference,total_comp,total_att,total_yds,total_td,total_int,avg_qbr,min_qbr,max_qbr,games_with_qbr,total_games,weighted_avg_qbr,season_completion_pct,season_yards_per_attempt,season_td_rate,season_int_rate
5132812,Aaron Philo,Georgia Tech,ACC,35,69,516,1,2,65.83333333333333,46.2,92.8,3,3,58.836231884057966,0.5072463768115942,7.478260869565218,0.014492753623188406,0.028985507246376812
4838679,Ashton Daniels,Stanford,ACC,102,156,1067,5,6,63.314285714285724,45.2,97.1,7,7,57.73397435897436,0.6538461538461539,6.839743589743589,0.03205128205128205,0.038461538461538464
4426499,Hank Bachmeier,Wake Forest,ACC,128,213,1434,11,9,53.5625,15.3,84.9,8,8,57.5075117370892,0.6009389671361502,6.732394366197183,0.051643192488262914,0.04225352112676056
4685574,Conner Weigman,Texas A&M,SEC,41,70,594,1,3,44.25,3.2,93.7,4,4,56.994285714285716,0.5857142857142857,8.485714285714286,0.014285714285714285,0.04285714285714286
4429463,Jacolby Criswell,North Carolina,ACC,121,208,1563,9,3,56.214285714285715,4.3,93.4,7,7,55.48461538461539,0.5817307692307693,7.514423076923077,0.04326923076923077,0.014423076923076924
4746127,Zach Pyron,Georgia Tech,ACC,31,59,352,1,3,34.300000000000004,5.1,73.9,3,3,54.08983050847458,0.5254237288135594,5.966101694915254,0.01694915254237288,0.05084745762711865
4432782,Brock Vandagriff,Kentucky,SEC,61,111,800,6,6,53.78333333333333,18.1,81.5,6,6,54.04414414414414,0.5495495495495496,7.207207207207207,0.05405405405405406,0.05405405405405406
5079555,D.J. Lagway,Florida,SEC,73,128,1126,9,5,56.45,37.2,75.1,8,8,52.885156249999994,0.5703125,8.796875,0.0703125,0.0390625
4683182,Nate Yarnell,Pittsburgh,ACC,86,148,921,8,5,47.51666666666667,10.4,98.7,6,6,51.929054054054056,0.581081081081081,6.222972972972973,0.05405405405405406,0.033783783783783786
4678010,Kyron Drones,Virginia Tech,ACC,53,84,608,4,2,54.199999999999996,21.1,87.8,4,4,50.73690476190476,0.6309523809523809,7.238095238095238,0.047619047619047616,0.023809523809523808
4870607,Jackson Arnold,Oklahoma,SEC,93,144,883,5,0,54.1,19.4,82.4,6,6,47.62916666666667,0.6458333333333334,6.131944444444445,0.034722222222222224,0.0
4870819,Eli Holstein,Pittsburgh,ACC,92,161,1042,5,5,37.46666666666666,10.3,68.6,6,6,46.13416149068323,0.5714285714285714,6.472049689440993,0.031055900621118012,0.031055900621118012
4920158,Brock Glenn,Florida State,ACC,51,110,597,4,5,37.800000000000004,4.5,78.7,6,6,43.0009090909091,0.4636363636363636,5.427272727272728,0.03636363636363636,0.045454545454545456
5044387,Anthony Colandrea,Virginia,ACC,114,197,1093,6,7,36.714285714285715,12.7,63.2,7,7,37.9751269035533,0.5786802030456852,5.548223350253807,0.030456852791878174,0.03553299492385787
5079542,Luke Kromenhoek,Florida State,ACC,59,112,642,3,2,33.15714285714286,9.6,73.7,7,7,36.841071428571425,0.5267857142857143,5.732142857142857,0.026785714285714284,0.017857142857142856
5141378,Cutter Boley,Kentucky,SEC,32,68,386,2,6,30.3,0.1,82.7,5,5,35.15,0.47058823529411764,5.676470588235294,0.029411764705882353,0.08823529411764706
4429088,Drew Pyne,Missouri,SEC,33,65,274,3,3,22.45,3.6,67.1,4,4,32.74153846153846,0.5076923076923077,4.2153846153846155,0.046153846153846156,0.046153846153846156
4773919,Thomas Castellanos,Boston College,ACC,54,91,637,8,3,19.375,0.9,32.1,4,4,24.05824175824176,0.5934065934065934,7.0,0.08791208791208792,0.03296703296703297
