gameId,offense,defense,final_offense_score,final_defense_score,total_yards,total_plays,penalties,turnovers,explosives,third_down_attempts,third_down_success,fourth_down_attempts,fourth_down_success,total_ppa,avg_ppa,win
401767119,Chadron St,Northern Colorado,3,17,493,76,1,1,5,12,3,8,4,2.0095339167585906,0.03139896744935298,0
401767119,Northern Colorado,Chadron St,17,3,213,69,3,0,4,12,6,7,2,6.253621265916925,0.12026194742147932,1
401767126,Portland State,Tarleton State,0,42,464,100,5,2,6,20,5,10,2,-13.770331952502044,-0.1939483373591837,0
401767126,Tarleton State,Portland State,42,0,773,89,2,4,12,14,6,8,3,24.905490259658293,0.3717237352187805,1
401767130,Sacramento State,South Dakota State,3,20,231,66,5,3,5,16,2,12,2,-13.879558391920398,-0.2832562937126612,0
401767130,South Dakota State,Sacramento State,20,3,633,113,8,1,10,19,5,14,7,3.5269041517522774,0.04464435635129465,1
401767140,Campbell,Rhode Island,20,31,452,94,9,2,6,18,3,15,5,0.8921670911556472,0.013315926733666376,0
401767140,Rhode Island,Campbell,31,20,570,88,9,1,10,14,5,8,5,11.365642246582471,0.18331681042874953,1
401767156,UC Davis,Utah Tech,31,24,473,91,0,2,6,15,6,8,2,5.605324357968769,0.07279642023336064,1
401767156,Utah Tech,UC Davis,24,31,469,87,1,4,8,16,8,8,3,0.7152870125316247,0.00953716016708833,0
401767171,Dayton,Eastern Illinois,14,24,404,63,1,1,6,15,4,10,3,1.5054277393415667,0.030108554786831335,0
401767171,Eastern Illinois,Dayton,24,14,597,96,2,3,10,18,10,6,3,9.705159701405398,0.11835560611469997,1
401767179,Hampton,Jackson State,14,28,552,81,3,1,9,15,6,9,3,9.475359167631655,0.13536227382330937,0
401767179,Jackson State,Hampton,28,14,489,81,6,0,7,16,6,9,3,9.384638331857598,0.15136513438479998,1
401767201,Gardner-Webb,Western Carolina,52,48,874,110,3,2,18,17,4,12,5,24.904247497945327,0.27671386108828144,1
401767201,Western Carolina,Gardner-Webb,48,52,638,97,3,4,10,17,7,10,4,24.396506945945195,0.31277573007622045,0
401767209,Lindenwood,St. Thomas (MN),19,35,567,78,2,1,8,12,5,8,4,15.53083804612203,0.23180355292719448,0
401767209,St. Thomas (MN),Lindenwood,35,20,557,77,2,0,6,12,8,4,1,27.044128703345237,0.4225645109897693,1
401767223,North Carolina A&T,Tennessee State,21,24,388,83,6,4,4,16,6,10,2,11.903722688412548,0.1831341952063469,0
401767223,Tennessee State,North Carolina A&T,24,21,373,69,3,3,5,12,2,9,1,-0.9743817389412506,-0.01948763477882501,1
401767230,Cumberland (TN),Tennessee Tech,0,65,314,75,6,1,5,16,1,15,6,-20.161133104346657,-0.38039873781786143,0
401767230,Tennessee Tech,Cumberland (TN),65,0,715,78,4,2,10,8,5,3,1,35.63011589248787,0.6039002693642013,1
401767256,Colgate,Monmouth,42,42,638,96,4,1,11,16,9,7,3,23.660044976306267,0.29949424020640847,0
401767256,Monmouth,Colgate,42,42,667,86,1,4,11,14,9,3,1,30.274639001598324,0.41472108221367565,0
401767265,New Hampshire,North Carolina Central,32,17,361,83,5,0,8,15,6,9,2,6.533579980447383,0.10370761873726005,1
401767265,North Carolina Central,New Hampshire,17,32,348,77,2,1,7,15,4,11,4,-7.391065002490894,-0.11921072584662733,0
401767298,Samford,West Georgia,3,34,487,98,6,2,5,16,5,14,2,-17.11737573069989,-0.24108979902394212,0
401767298,West Georgia,Samford,34,3,714,100,7,2,12,19,7,11,8,9.616162465092716,0.13936467340714082,1
401767327,Norfolk State,Towson,7,27,264,82,3,0,4,14,4,10,1,0.7760009958869953,0.011411779351279343,0
401767327,Towson,Norfolk State,27,7,452,83,2,1,7,18,9,8,4,8.87233387835638,0.13242289370681165,1
401767339,Furman,William & Mary,23,21,350,96,5,2,7,17,8,9,5,2.3997396036534004,0.03749593130708438,1
401767339,William & Mary,Furman,21,23,602,91,7,1,11,13,5,8,0,10.6855131352256,0.16190171417008484,0
401767350,Florida A&M,Howard,9,7,450,99,7,0,7,23,6,12,5,-3.881080241136685,-0.06160444827201088,1
