,season,week,seasonType,id,name,position,team,opponent,averagePPA.all,averagePPA.pass,averagePPA.rush
898,2024,1,regular,5089865,Dedrick Talbert,RB,Grambling,Louisiana,-0.788,-0.788,
899,2024,1,regular,5089868,Covadis Knighten,TE,Grambling,Louisiana,1.923,1.923,
900,2024,1,regular,5146163,Rahji Dennis,WR,Louisiana,Grambling,1.113,1.113,
901,2024,1,regular,5152211,Jacoby Bellazar,WR,Grambling,Louisiana,0.77,0.77,
902,2024,1,regular,5156906,Bill Davis,RB,Louisiana,Grambling,0.183,,0.183
903,2024,1,regular,5156911,Landon Baptiste,WR,Louisiana,Grambling,0.448,0.448,
904,2024,1,regular,5156926,Tavion Smith,WR,Louisiana,Grambling,2.061,2.061,
905,2024,1,regular,5156928,Caden Jensen,TE,Louisiana,Grambling,0.265,0.265,
906,2024,1,regular,4430105,Fabian Mccray,WR,Jackson State,UL Monroe,0.035,0.035,
907,2024,1,regular,4430654,Rico Powers Jr.,WR,Jackson State,UL Monroe,-0.15,-0.15,
908,2024,1,regular,4612078,JaCobian Morgan,QB,Jackson State,UL Monroe,0.434,0.438,0.505
909,2024,1,regular,4683912,Hunter Herring,QB,UL Monroe,Jackson State,-0.603,,-0.603
910,2024,1,regular,4713196,Davon Wells,WR,UL Monroe,Jackson State,0.833,0.833,
911,2024,1,regular,4881961,Kobe Paul,WR,Jackson State,UL Monroe,2.504,2.504,
912,2024,1,regular,4912281,Taven Curry,RB,UL Monroe,Jackson State,0.319,0.265,0.332
913,2024,1,regular,4917305,Cam'Ron McCoy,QB,Jackson State,UL Monroe,-1.178,-1.178,
914,2024,1,regular,5081925,General Booty,QB,UL Monroe,Jackson State,0.149,0.192,0.041
915,2024,1,regular,5083981,Joanes Fortilien,WR,Jackson State,UL Monroe,1.141,1.141,
916,2024,1,regular,5122054,Aidan Armenta,QB,UL Monroe,Jackson State,3.481,3.481,
917,2024,1,regular,5163021,Jacob Godfrey,WR,UL Monroe,Jackson State,0.307,0.307,
918,2024,1,regular,5197065,Ahmad Hardy,RB,UL Monroe,Jackson State,0.322,,0.322
919,2024,1,regular,5220222,Javon Campbell,WR,UL Monroe,Jackson State,1.568,1.568,
920,2024,1,regular,5220253,James Jones,RB,UL Monroe,Jackson State,0.308,,0.308
921,2024,1,regular,4430914,Lawrence Arnold,WR,Kansas,Lindenwood,1.924,1.924,
922,2024,1,regular,4431735,Douglas Emilien,WR,Kansas,Lindenwood,1.529,2.983,0.075
923,2024,1,regular,4432326,Trevor Kardell,TE,Kansas,Lindenwood,0.253,0.253,
924,2024,1,regular,4433830,Luke Grimm,WR,Kansas,Lindenwood,1.961,1.961,
925,2024,1,regular,4568694,Daniel Hishaw Jr.,RB,Kansas,Lindenwood,0.692,,0.692
926,2024,1,regular,4576218,Sevion Morrison,RB,Kansas,Lindenwood,0.345,,0.345
927,2024,1,regular,4596472,Jalon Daniels,QB,Kansas,Lindenwood,0.474,0.474,
928,2024,1,regular,4613050,Quentin Skinner,WR,Kansas,Lindenwood,-1.22,1.226,-3.665
929,2024,1,regular,4682652,Devin Neal,RB,Kansas,Lindenwood,1.259,,1.259
930,2024,1,regular,4697101,Cortezz Jones,RB,Lindenwood,Kansas,0.321,3.589,-0.042
931,2024,1,regular,4899137,Johnny Thompson Jr.,RB,Kansas,Lindenwood,0.345,,0.345
932,2024,1,regular,5081092,Mikey Pauley,QB,Kansas,Lindenwood,2.316,,2.316
933,2024,1,regular,5081856,Nate Glantz,QB,Lindenwood,Kansas,0.089,0.033,0.221
934,2024,1,regular,5122286,Reece Thomas,WR,Lindenwood,Kansas,1.572,1.572,
935,2024,1,regular,5126514,Harry Stewart III,RB,Kansas,Lindenwood,-0.213,,-0.213
936,2024,1,regular,5151060,Cole Ballard,QB,Kansas,Lindenwood,0.739,0.85,0.46
937,2024,1,regular,4361014,Brant Kuithe,TE,Utah,Southern Utah,2.1,2.1,
938,2024,1,regular,4362075,Cameron Rising,QB,Utah,Southern Utah,1.107,1.348,0.201
