,id,season,seasonType,week,startDate,homeTeam,homeConference,homeClassification,homeScore,awayTeam,awayConference,awayClassification,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline,0
977,401635596,2024,regular,9,2024-10-26T23:00:00.000Z,Miami,ACC,fbs,36.0,Florida State,ACC,fbs,14.0,ESPN Bet,-21.5,Miami -21.5,-21.5,53.5,54.5,-2000.0,1000.0,
978,401640984,2024,regular,9,2024-10-22T23:30:00.000Z,Florida International,Conference USA,fbs,7.0,Sam Houston,Conference USA,fbs,10.0,Bovada,5.0,Sam Houston -5.0,7.0,47.0,46.0,180.0,-220.0,
979,401640984,2024,regular,9,2024-10-22T23:30:00.000Z,Florida International,Conference USA,fbs,7.0,Sam Houston,Conference USA,fbs,10.0,ESPN Bet,6.5,Sam Houston -6.5,6.5,46.5,45.5,170.0,-200.0,
980,401640984,2024,regular,9,2024-10-22T23:30:00.000Z,Florida International,Conference USA,fbs,7.0,Sam Houston,Conference USA,fbs,10.0,DraftKings,4.5,Sam Houston -4.5,8.5,47.5,,160.0,-192.0,
981,401628419,2024,regular,12,2024-11-16T17:00:00.000Z,Arkansas,SEC,fbs,10.0,Texas,SEC,fbs,20.0,DraftKings,13.0,Texas -13,16.5,57.5,,455.0,-625.0,
982,401628419,2024,regular,12,2024-11-16T17:00:00.000Z,Arkansas,SEC,fbs,10.0,Texas,SEC,fbs,20.0,Bovada,12.0,Texas -12.0,15.0,57.5,57.5,475.0,-700.0,
983,401628419,2024,regular,12,2024-11-16T17:00:00.000Z,Arkansas,SEC,fbs,10.0,Texas,SEC,fbs,20.0,ESPN Bet,13.5,Texas -13.5,16.5,56.5,57.5,400.0,-600.0,
984,401636876,2024,regular,4,2024-09-21T20:00:00.000Z,Oklahoma State,Big 12,fbs,19.0,Utah,Big 12,fbs,22.0,DraftKings,1.0,Utah -1,1.0,53.5,,-105.0,-115.0,
985,401636876,2024,regular,4,2024-09-21T20:00:00.000Z,Oklahoma State,Big 12,fbs,19.0,Utah,Big 12,fbs,22.0,Bovada,1.0,Utah -1.0,-3.0,53.5,51.5,-105.0,-115.0,
986,401636876,2024,regular,4,2024-09-21T20:00:00.000Z,Oklahoma State,Big 12,fbs,19.0,Utah,Big 12,fbs,22.0,ESPN Bet,0.5,Utah -0.5,-3.0,53.5,51.5,-105.0,-115.0,
987,401634014,2024,regular,13,2024-11-23T21:30:00.000Z,Tennessee State,Big South-OVC,fcs,28.0,Southeast Missouri State,Big South-OVC,fcs,21.0,ESPN Bet,6.5,Southeast Missouri State -6.5,,50.5,,,,
988,401673467,2024,regular,15,2024-12-07T17:00:00.000Z,Miami (OH),Mid-American,fbs,3.0,Ohio,Mid-American,fbs,38.0,DraftKings,-2.5,Miami (OH) -2.5,,44.0,,-135.0,114.0,
989,401673467,2024,regular,15,2024-12-07T17:00:00.000Z,Miami (OH),Mid-American,fbs,3.0,Ohio,Mid-American,fbs,38.0,Bovada,-2.5,Miami (OH) -2.5,-2.5,44.0,44.5,-135.0,115.0,
990,401673467,2024,regular,15,2024-12-07T17:00:00.000Z,Miami (OH),Mid-American,fbs,3.0,Ohio,Mid-American,fbs,38.0,ESPN Bet,-2.5,Miami (OH) -2.5,-2.5,43.5,44.5,-125.0,105.0,
991,401729781,2024,regular,16,2024-12-14T17:00:00.000Z,South Dakota State,MVFC,fcs,55.0,Incarnate Word,Southland,fcs,14.0,ESPN Bet,-20.5,South Dakota State -20.5,,54.5,,,,
992,401628346,2024,regular,2,2024-09-07T23:30:00.000Z,NC State,ACC,fbs,10.0,Tennessee,SEC,fbs,51.0,DraftKings,10.0,Tennessee -10,4.5,60.5,,270.0,-340.0,
993,401628346,2024,regular,2,2024-09-07T23:30:00.000Z,NC State,ACC,fbs,10.0,Tennessee,SEC,fbs,51.0,Bovada,8.5,Tennessee -8.5,7.0,60.5,60.0,295.0,-390.0,
994,401628346,2024,regular,2,2024-09-07T23:30:00.000Z,NC State,ACC,fbs,10.0,Tennessee,SEC,fbs,51.0,ESPN Bet,13.5,Tennessee -13.5,8.0,59.5,60.5,270.0,-340.0,
995,401628374,2024,regular,5,2024-09-28T23:30:00.000Z,Alabama,SEC,fbs,41.0,Georgia,SEC,fbs,34.0,DraftKings,2.0,Georgia -2,4.5,50.0,,105.0,-125.0,
996,401628374,2024,regular,5,2024-09-28T23:30:00.000Z,Alabama,SEC,fbs,41.0,Georgia,SEC,fbs,34.0,Bovada,2.0,Georgia -2.0,2.0,50.0,49.5,110.0,-130.0,
997,401628374,2024,regular,5,2024-09-28T23:30:00.000Z,Alabama,SEC,fbs,41.0,Georgia,SEC,fbs,34.0,ESPN Bet,-7.5,Alabama -7.5,1.5,64.5,49.5,105.0,-125.0,
998,401636883,2024,regular,5,2024-09-28T16:00:00.000Z,Kansas State,Big 12,fbs,42.0,Oklahoma State,Big 12,fbs,20.0,DraftKings,-6.0,Kansas State -6,-5.5,58.0,,-230.0,190.0,
