season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2024,SMU,American Athletic,593.8,219.1,292.1,82.6,0.925,0.989,0.908,0.839,0.915,0.982,0.901,0.865
2024,South Alabama,Sun Belt,207.3,25.5,122.8,58.9,0.37,0.153,0.491,0.414,0.343,0.139,0.545,0.385
2024,South Carolina,SEC,79.8,15.4,61.2,3.2,0.19,0.099,0.258,0.121,0.138,0.027,0.256,0.16
2024,Southern Mississippi,Sun Belt,70.8,8.5,40.8,21.4,0.233,0.161,0.235,0.276,0.283,0.123,0.363,0.385
2024,South Florida,American Athletic,406.7,121.1,204.7,80.9,0.862,1.0,0.787,0.89,0.905,1.0,0.812,0.878
2024,Stanford,Pac-12,232.7,49.4,146.3,37.1,0.856,1.008,0.777,1.088,0.845,0.974,0.755,0.746
2024,Syracuse,ACC,88.8,15.7,64.8,8.3,0.338,0.216,0.436,0.2,0.499,0.298,0.532,0.634
2024,TCU,Big 12,292.4,115.6,168.2,8.6,0.543,0.585,0.612,0.131,0.522,0.594,0.638,0.306
2024,Temple,American Athletic,94.7,-1.8,101.3,-4.8,0.232,-0.016,0.383,-0.14,0.175,0.036,0.447,0.101
2024,Tennessee,SEC,153.8,9.9,100.6,43.2,0.327,0.069,0.507,0.336,0.357,0.153,0.578,0.367
2024,Texas,Big 12,256.7,141.7,62.4,52.6,0.473,0.817,0.237,0.493,0.561,0.882,0.211,0.516
2024,Texas A&M,SEC,286.4,97.7,131.7,57.0,0.574,0.572,0.495,0.922,0.631,0.558,0.471,0.841
2024,Texas State,Sun Belt,231.5,1.5,176.4,53.6,0.39,0.008,0.681,0.369,0.362,0.002,0.678,0.466
2024,Texas Tech,Big 12,230.0,60.0,66.9,103.0,0.568,0.765,0.31,0.928,0.742,0.76,0.528,0.886
2024,Toledo,Mid-American,249.8,31.3,206.5,12.0,0.451,0.167,0.845,0.098,0.421,0.164,0.844,0.357
2024,Troy,Sun Belt,127.2,11.6,110.6,4.9,0.252,0.077,0.397,0.064,0.169,0.036,0.287,0.228
2024,Tulane,American Athletic,126.5,16.1,61.0,49.4,0.309,0.122,0.302,0.661,0.481,0.229,0.421,0.727
2024,Tulsa,American Athletic,252.4,103.5,106.3,42.6,0.701,0.891,0.572,0.731,0.677,0.753,0.527,0.703
2024,UAB,American Athletic,338.3,148.2,122.0,68.1,0.652,0.934,0.499,0.588,0.709,0.989,0.512,0.565
2024,UCF,Big 12,246.9,-0.2,151.5,95.5,0.402,-0.001,0.567,0.578,0.446,0.033,0.604,0.676
2024,UCLA,Pac-12,280.2,52.1,163.5,64.5,0.597,0.51,0.646,0.569,0.472,0.368,0.626,0.484
2024,UMass,FBS Independents,102.8,36.8,41.5,24.5,0.346,0.505,0.296,0.291,0.393,0.713,0.272,0.176
2024,UNLV,Mountain West,234.9,13.0,196.7,25.2,0.425,0.071,0.762,0.225,0.305,0.008,0.755,0.254
2024,USC,Pac-12,152.5,41.5,91.1,19.9,0.223,0.19,0.264,0.163,0.196,0.146,0.349,0.105
2024,Utah,Pac-12,92.7,12.6,77.6,2.5,0.317,0.244,0.467,0.034,0.276,0.032,0.464,0.362
2024,Utah State,Mountain West,189.5,2.2,166.0,21.4,0.475,0.02,0.716,0.381,0.312,0.008,0.595,0.456
2024,UTEP,Conference USA,93.2,65.2,30.9,-3.0,0.249,0.57,0.139,-0.08,0.3,0.596,0.125,0.138
2024,UT San Antonio,American Athletic,167.0,14.2,98.0,54.8,0.348,0.092,0.411,0.626,0.531,0.233,0.512,0.828
2024,Vanderbilt,SEC,49.9,0.0,57.8,-7.8,0.17,0.0,0.299,-0.236,0.238,0.0,0.349,0.455
2024,Virginia,ACC,240.8,109.2,101.5,30.0,0.629,0.918,0.5,0.49,0.716,0.986,0.511,0.595
2024,Virginia Tech,ACC,330.8,63.7,175.9,91.2,0.833,0.692,0.839,0.956,0.869,0.816,0.825,0.933
2024,Wake Forest,ACC,89.5,12.4,62.1,15.0,0.32,0.185,0.34,0.487,0.364,0.242,0.29,0.505
2024,Washington,Pac-12,18.2,2.5,14.1,1.6,0.025,0.009,0.039,0.018,0.035,0.002,0.069,0.042
2024,Washington State,Pac-12,139.3,15.5,105.1,18.7,0.274,0.095,0.369,0.312,0.217,0.028,0.382,0.341
2024,Western Kentucky,Conference USA,196.9,30.8,154.8,11.3,0.377,0.153,0.533,0.372,0.345,0.134,0.499,0.485
2024,Western Michigan,Mid-American,208.7,47.3,104.4,57.0,0.764,0.654,0.788,0.838,0.726,0.633,0.709,0.818
2024,West Virginia,Big 12,387.6,96.9,136.0,154.7,0.889,0.971,0.728,1.037,0.899,0.997,0.759,0.895
2024,Wisconsin,Big Ten,186.4,7.6,148.1,30.7,0.505,0.104,0.741,0.318,0.446,0.331,0.663,0.408
2024,Wyoming,Mountain West,81.8,8.4,47.8,25.5,0.266,0.107,0.3,0.366,0.448,0.14,0.404,0.69
