id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401767256,2405,Monmouth,CAA,away,42,34-45,,32,1-2,0,1,,,4,0,49,3,4,491,,,4,27:03,,,,,28,2,187,,,,9-14,0,3-32,678,4,10.9,6.7
401767265,160,New Hampshire,CAA,away,27,10-17,,14,0-0,0,,0,0,0,0,0,1,7,186,,1,2,34:52,0,63,2,,39,1,118,,,,5-13,,11-110,304,0,10.9,3.0
401767265,2428,North Carolina Central,MEAC,home,10,13-33,,16,0-1,0,,,,1,0,63,3,4,172,,,1,25:08,0,12,3,,30,0,103,,,,3-13,,5-60,275,1,5.2,3.4
401767298,2535,Samford,Southern,home,3,32-44,,16,0-3,3,0,0,8,0,0,74,4,3,247,,2,0,27:49,0,2,2,,28,0,24,,,,5-17,5,6-43,271,3,5.6,0.9
401767298,2698,West Georgia,UAC,away,34,19-35,,18,1-2,0,3,,,2,0,92,1,10,231,,,0,32:11,,,,,34,2,180,,,,6-16,0,6-53,411,2,6.6,5.3
401767327,119,Towson,CAA,away,27,14-26,,18,1-1,1,0,,,0,0,28,1,9,187,,,3,31:05,0,18,3,,38,0,136,,,,9-17,1,6-59,323,1,7.2,3.6
401767327,2450,Norfolk State,MEAC,home,7,21-31,,16,1-3,0,1,,,0,0,65,3,1,240,,,0,27:35,,,,,31,1,39,,,,3-13,0,9-78,279,0,7.7,1.3
401767339,231,Furman,Southern,home,23,21-30,,17,0-0,1,0,1,43,0,0,144,4,11,179,,1,1,30:45,0,24,4,,34,0,58,,,,6-14,3,6-50,237,1,6.0,1.7
401767339,2729,William & Mary,CAA,away,21,19-32,,22,0-2,0,1,,,1,0,16,1,3,208,,,1,29:15,0,27,2,,35,2,144,,,,4-12,1,7-59,352,1,6.5,4.1
401767350,47,Howard,MEAC,away,10,17-28,,12,1-1,0,,,,1,0,56,3,4,145,,,1,26:24,0,25,2,,29,0,56,,,,6-16,,5-35,201,1,5.2,1.9
401767350,50,Florida A&M,SWAC,home,9,17-32,,15,0-0,0,,0,0,0,0,46,2,9,183,,1,0,33:36,0,28,4,,32,0,89,,,,5-16,,6-54,272,0,5.7,2.8
401767369,2016,Alcorn State,SWAC,away,10,19-44,,18,1-4,1,1,1,72,2,0,21,4,4,182,,1,0,30:03,0,22,2,,33,0,119,,,,5-17,1,15-123,301,3,4.1,3.6
