,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
125,401762463,2006,Akron,Mid-American,away,28,19-35,0,21,1-3,0,,0,44,0,0,64,3,8,282,5,1,2,29:58,0,8,1,6,43,1,159,2,42,7,6-16,,5-44,441,0,8.1,3.7
126,401762464,2405,Monmouth,CAA,away,35,36-49,0,28,1-4,0,2,0,0,0,,,,5,410,1,1,4,26:52,,,,1,23,1,48,1,38,4,5-12,0,6-65,458,0,8.4,2.1
127,401762464,2429,Charlotte,American Athletic,home,42,26-30,0,29,1-2,2,0,,,1,0,123,4,6,382,2,,3,33:08,0,22,1,1,42,3,181,4,33,6,8-12,3,11-103,563,3,12.7,4.3
128,401762465,202,Tulsa,American Athletic,home,23,22-37,0,23,2-4,1,1,0,0,1,0,119,5,5,189,0,2,1,24:36,0,8,1,1,33,2,140,1,25,2,4-13,1,4-29,329,2,5.1,4.2
129,401762465,2426,Navy,American Athletic,away,42,6-10,0,25,2-3,1,1,0,3,2,0,19,1,6,94,5,1,1,35:24,0,0,1,1,63,5,367,3,31,6,8-13,3,4-39,461,3,9.4,5.8
130,401762466,242,Rice,American Athletic,home,38,12-19,0,28,3-4,0,0,,,0,0,11,1,8,114,3,,2,36:22,0,4,2,2,60,3,347,2,28,7,6-14,2,6-58,461,0,6.0,5.8
131,401762466,2504,Prairie View A&M,SWAC,away,17,13-28,0,18,0-1,0,0,,,0,0,17,1,5,151,4,,1,23:38,,,,2,32,1,100,1,38,9,7-15,1,7-54,251,0,5.4,3.1
132,401762467,2636,UTSA,American Athletic,home,48,29-35,0,22,1-1,0,2,0,18,0,0,34,2,12,238,5,2,4,34:12,,,,3,35,2,204,4,49,10,8-16,0,6-60,442,0,6.8,5.8
133,401762467,2916,Incarnate Word,Southland,away,20,31-45,0,23,0-1,2,0,,,2,0,10,1,2,324,2,,3,25:48,0,11,2,3,27,0,33,0,44,7,6-14,3,8-88,357,4,7.2,1.2
134,401762817,2084,Buffalo,Mid-American,away,31,28-40,0,24,1-3,1,1,,,1,0,31,2,7,318,2,,3,22:38,0,40,3,6,29,1,149,3,39,9,5-12,3,4-42,467,2,8.0,5.1
135,401762817,2309,Kent State,Mid-American,home,28,22-33,0,20,3-5,1,1,0,0,0,0,19,1,4,279,1,1,2,37:22,0,14,2,2,44,2,144,1,38,4,8-20,1,7-42,423,1,8.5,3.3
136,401762818,160,New Hampshire,CAA,away,29,25-45,1,22,1-2,0,1,0,-3,0,0,93,5,9,259,2,1,1,38:05,1,46,2,0,34,1,132,1,30,5,8-18,0,6-62,391,0,5.8,3.9
137,401762818,2050,Ball State,Mid-American,home,34,9-15,0,21,0-0,1,0,,,1,0,74,4,4,105,7,,2,21:55,0,2,2,2,36,3,308,4,42,9,7-10,1,6-56,413,2,7.0,8.6
138,401762819,2415,Morgan State,MEAC,away,0,9-16,0,4,0-0,1,1,,,0,0,17,1,,20,1,,0,26:01,,,,1,32,0,36,1,42,6,0-12,2,5-19,56,1,1.3,1.1
139,401762819,2649,Toledo,Mid-American,home,60,27-37,0,31,0-1,1,1,,,0,,,,10,297,3,,3,33:59,0,112,7,2,47,5,260,3,27,11,7-14,1,7-65,557,1,8.0,5.5
140,401767030,2060,Bentley,Northeast 10,away,6,21-33,,12,1-3,0,2,0,9,1,0,78,5,,170,,1,1,29:28,,,,,25,0,24,,,,4-14,1,13-122,194,1,5.2,1.0
141,401767030,2803,Bryant,CAA,home,42,24-33,,26,0-0,2,0,0,10,1,0,47,2,6,255,,1,2,30:32,1,35,2,,28,3,140,,,,7-10,3,8-85,395,3,7.7,5.0
142,401767060,331,Eastern Washington,Big Sky,away,14,21-35,,16,2-2,0,1,0,25,0,0,29,2,2,159,,1,0,23:40,0,10,2,,25,2,117,,,,2-12,0,9-88,276,0,4.5,4.7
143,401767060,2460,Northern Iowa,MVFC,home,17,23-35,,23,0-1,1,0,,,1,,,,5,359,,,2,36:20,,,,,40,0,136,,,,9-17,1,10-70,495,2,10.3,3.4
144,401767071,13,Cal Poly,Big Sky,home,56,20-35,,23,1-3,0,,1,74,2,0,19,2,8,376,,2,4,28:58,0,38,3,,38,3,140,,,,7-14,,9-100,516,2,10.7,3.7
145,401767071,2848,Western Oregon,Lone Star,away,7,23-40,,16,1-3,0,,0,23,2,0,216,10,1,261,,2,1,31:02,,,,,29,0,67,,,,3-16,,10-90,328,2,6.5,2.3
146,401767090,70,Idaho,Big Sky,home,20,14-25,,26,2-2,0,0,0,0,0,,,,8,119,,1,1,34:46,0,20,3,,46,1,286,,,,7-15,2,1-5,405,0,4.8,6.2
147,401767090,3101,Utah Tech,UAC,away,6,17-29,,15,2-2,0,,,,1,0,65,3,6,149,,,0,25:14,,,,,25,0,98,,,,5-13,,6-52,247,1,5.1,3.9
148,401767098,149,Montana,Big Sky,home,24,25-39,,18,1-1,0,,0,0,2,0,77,3,6,300,,1,2,29:23,0,10,5,,35,1,68,,,,5-18,,7-63,368,2,7.7,1.9
149,401767098,155,North Dakota,MVFC,away,23,17-41,,19,0-2,0,,0,0,1,0,42,2,5,258,,2,3,30:37,0,10,2,,41,0,202,,,,6-18,,9-81,460,1,6.3,4.9
150,401767106,147,Montana State,Big Sky,home,41,27-31,,28,2-2,0,,,,1,,,,11,321,,,3,35:03,0,21,2,,41,2,217,,,,6-13,,3-13,538,1,10.4,5.3
151,401767106,301,San Diego,Pioneer,away,7,14-27,,12,0-0,0,,0,0,0,0,23,1,1,143,,1,1,24:57,0,7,1,,24,0,71,,,,2-11,,1-15,214,0,5.3,3.0
152,401767120,233,South Dakota,MVFC,home,24,7-19,,23,1-1,0,,,,1,0,15,1,6,99,,,1,29:03,,,,,45,2,309,,,,4-11,,2-20,408,1,5.2,6.9
153,401767120,2458,Northern Colorado,Big Sky,away,17,28-40,,20,2-5,0,0,0,33,0,0,47,3,9,336,,1,1,30:57,,,,,32,0,91,,,,3-14,1,5-34,427,0,8.4,2.8
154,401767131,16,Sacramento State,Big Sky,home,49,8-18,,26,2-3,1,0,0,9,0,0,142,6,7,176,,2,2,24:33,0,-5,1,,42,5,349,,,,5-9,2,8-73,525,1,9.8,8.3
155,401767131,2385,Mercyhurst,NEC,away,28,27-45,,22,2-4,0,1,,,2,0,58,5,8,280,,,2,35:27,,,,,34,1,89,,,,8-18,2,4-40,369,2,6.2,2.6
156,401767141,231,Furman,Southern,away,28,26-36,,23,0-0,0,,,,1,0,16,1,8,314,,,2,27:31,,,,,22,1,71,,,,7-13,,4-40,385,1,8.7,3.2
157,401767141,2097,Campbell,CAA,home,24,34-43,,24,2-4,0,0,0,1,0,,,,6,294,,1,1,32:29,,,,,35,2,95,,,,7-15,1,5-34,389,0,6.8,2.7
158,401767150,2210,Elon,CAA,away,37,11-29,,24,1-1,0,0,0,0,2,0,89,3,11,305,,2,2,30:23,0,7,1,,47,2,151,,,,5-17,1,9-109,456,2,10.5,3.2
