player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate
5079620,Michael Van Buren Jr.,Mississippi State,SEC,Texas,12,23,144,6.3,0,0,47.5,5,0.5217391304347826,6.260869565217392,0.0,0.0
4870906,Arch Manning,Texas,SEC,Mississippi State,26,31,324,10.5,2,0,79.5,5,0.8387096774193549,10.451612903225806,0.06451612903225806,0.0
4432734,Jalen Milroe,Alabama,SEC,Georgia,27,33,374,11.3,2,1,98.5,5,0.8181818181818182,11.333333333333334,0.06060606060606061,0.030303030303030304
4430841,Carson Beck,Georgia,SEC,Alabama,27,50,439,8.8,3,3,70.1,5,0.54,8.78,0.06,0.06
5079465,Michael Hawkins Jr.,Oklahoma,SEC,Auburn,10,15,161,10.7,0,0,67.5,5,0.6666666666666666,10.733333333333333,0.0,0.0
4430590,Payton Thorne,Auburn,SEC,Oklahoma,21,32,338,10.6,3,1,65.5,5,0.65625,10.5625,0.09375,0.03125
4689114,Jaxson Dart,Ole Miss,SEC,Kentucky,18,27,261,9.7,1,0,79.5,5,0.6666666666666666,9.666666666666666,0.037037037037037035,0.0
4432782,Brock Vandagriff,Kentucky,SEC,Ole Miss,18,28,243,8.7,1,0,75.3,5,0.6428571428571429,8.678571428571429,0.03571428571428571,0.0
4433971,Kyle McCord,Syracuse,ACC,Holy Cross,28,50,385,7.7,4,2,50.7,5,0.56,7.7,0.08,0.04
4570048,Michael Johnson Jr.,Syracuse,ACC,Holy Cross,2,3,31,10.3,0,0,2.2,5,0.6666666666666666,10.333333333333334,0.0,0.0
4838679,Ashton Daniels,Stanford,ACC,Clemson,9,19,71,3.7,1,3,33.4,5,0.47368421052631576,3.736842105263158,0.05263157894736842,0.15789473684210525
4684502,Justin Lamson,Stanford,ACC,Clemson,4,8,54,6.8,1,0,10.9,5,0.5,6.75,0.125,0.0
4685413,Cade Klubnik,Clemson,ACC,Stanford,15,31,255,8.2,4,1,80.2,5,0.4838709677419355,8.225806451612904,0.12903225806451613,0.03225806451612903
4688380,Cameron Ward,Miami,ACC,Virginia Tech,24,38,343,9.0,4,2,89.4,5,0.631578947368421,9.026315789473685,0.10526315789473684,0.05263157894736842
4697496,Peter Moore,Virginia Tech,ACC,Miami,1,1,-1,-1.0,0,0,24.7,5,1.0,-1.0,0.0,0.0
4678010,Kyron Drones,Virginia Tech,ACC,Miami,19,33,189,5.7,2,1,83.4,5,0.5757575757575758,5.7272727272727275,0.06060606060606061,0.030303030303030304
4360689,Tyler Shough,Louisville,ACC,Notre Dame,24,41,264,6.4,3,1,72.2,5,0.5853658536585366,6.439024390243903,0.07317073170731707,0.024390243902439025
4567707,Grayson James,Boston College,ACC,Western Kentucky,19,32,168,5.3,1,1,53.0,5,0.59375,5.25,0.03125,0.03125
4869991,Caden Veltkamp,Western Kentucky,Conference USA,Boston College,25,39,232,5.9,2,2,59.1,5,0.6410256410256411,5.948717948717949,0.05128205128205128,0.05128205128205128
4429020,D.J. Uiagalelei,Florida State,ACC,SMU,12,30,222,7.4,2,3,13.2,5,0.4,7.4,0.06666666666666667,0.1
4920158,Brock Glenn,Florida State,ACC,SMU,0,4,0,0.0,0,0,2.4,5,0.0,0.0,0.0,0.0
5084084,Kevin Jennings,SMU,ACC,Florida State,16,23,254,11.0,3,0,90.3,5,0.6956521739130435,11.043478260869565,0.13043478260869565,0.0
4685497,Maalik Murphy,Duke,ACC,North Carolina,15,34,209,6.1,1,0,20.7,5,0.4411764705882353,6.147058823529412,0.029411764705882353,0.0
4429463,Jacolby Criswell,North Carolina,ACC,Duke,21,39,251,6.4,2,1,55.8,5,0.5384615384615384,6.435897435897436,0.05128205128205128,0.02564102564102564
4426499,Hank Bachmeier,Wake Forest,ACC,Louisiana,29,35,254,7.3,1,1,67.6,5,0.8285714285714286,7.257142857142857,0.02857142857142857,0.02857142857142857
4373895,Ben Wooldridge,Louisiana,Sun Belt,Wake Forest,20,29,257,8.9,3,0,87.5,5,0.6896551724137931,8.862068965517242,0.10344827586206896,0.0
5079301,CJ Bailey,NC State,ACC,Northern Illinois,13,20,108,5.4,1,0,26.3,5,0.65,5.4,0.05,0.0
4618083,Ethan Hampton,Northern Illinois,Mid-American,NC State,14,29,159,5.5,1,2,19.8,5,0.4827586206896552,5.482758620689655,0.034482758620689655,0.06896551724137931
