,player_name,player_id,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate,id
132,Justin Pegues,5084054,0,1,0,0.0,0,0,3.2,4,0.0,0.0,0.0,0.0,189
133,KJ Jackson,5079516,4,4,59,14.8,0,0,91.4,1,1.0,14.75,0.0,0.0,8
134,KJ Jefferson,4567149,12,22,165,7.5,0,1,16.8,6,0.5454545454545454,7.5,0.0,0.0454545454545454,2116
135,Kadin Semonza,10183780,37,55,301,10.899999999999999,1,1,69.30000000000001,11,1.339522546419098,10.820954907161804,0.0344827586206896,0.0384615384615384,4100
136,Kaedin Robinson,4873237,0,1,0,0.0,0,1,0.0,2,0.0,0.0,0.0,1.0,2026
137,Kai Kroeger,9140066,0,2,0,0.0,0,0,0.0,9,0.0,0.0,0.0,0.0,5158
138,Kanyon Floyd,5147726,1,1,32,32.0,0,0,100.0,1,1.0,32.0,0.0,0.0,9
139,Katin Houser,4795295,18,29,147,5.1,0,2,55.7,1,0.6206896551724138,5.068965517241379,0.0,0.0689655172413793,151
140,Keldric Luster,10150784,1,3,0,0.0,0,0,4.0,11,0.5,0.0,0.0,0.0,5134
141,Ken Seals,4431375,3,3,19,6.3,1,0,99.9,4,1.0,6.333333333333333,0.3333333333333333,0.0,2628
142,Kevin Concepcion,4870653,1,1,28,28.0,0,0,100.0,8,1.0,28.0,0.0,0.0,152
143,Kevin Jennings,66093092,216,330,2941,120.5,20,10,894.8,86,8.710116333048255,120.5425976502521,0.7806690804745721,0.3354948292448291,33371
144,Kiael Kelly,4431416,1,2,-3,-1.5,0,0,2.0,3,0.5,-1.5,0.0,0.0,2050
145,Kyle McCord,57641623,391,592,4779,109.1,34,12,951.8,95,8.688028901466657,109.0870919814414,0.8058717697567888,0.23582951770451752,2379
146,Kyron Drones,46780100,158,257,1884,73.6,12,7,554.7,50,6.191374609795663,73.45700449647818,0.4657545183860971,0.2719632219632218,2590
147,Lanorris Sellers,63376651,210,321,2691,110.1,18,8,889.5,102,8.441529016936368,109.99078827728691,0.7207797455899919,0.3582831967912611,33527
148,Lex Thomas,9750256,5,8,65,14.8,1,1,99.0,14,1.1666666666666665,14.833333333333334,0.1666666666666666,0.5,304
149,Luke Altmyer,4597679,13,22,174,7.9,1,1,87.7,1,0.5909090909090909,7.909090909090909,0.0454545454545454,0.0454545454545454,356
150,Luke Elzinga,13281438,3,3,66,66.0,0,0,200.0,20,3.0,66.0,0.0,0.0,603
151,Luke Kromenhoek,35556794,59,112,642,37.3,3,2,232.10000000000002,79,3.489285714285714,37.28928571428571,0.15,0.2857142857142857,364
152,Maalik Murphy,56225964,254,421,2932,83.9,26,12,635.1,86,7.237389389610556,84.02514093210068,0.7487884665385681,0.3420707338571755,1800
