player_id,player_name,team,conference,week,comp,att,yds,td,int,qbr,completion_pct
4746127,Zach Pyron,Georgia Tech,ACC,1,1,1,-1,0,0,91.5,1.0
4428993,Haynes King,Georgia Tech,ACC,1,24,29,275,2,1,82.6,0.8275862068965517
4432767,Preston Stone,SMU,ACC,1,6,9,78,2,0,58.8,0.6666666666666666
5084084,Kevin Jennings,SMU,ACC,1,10,14,148,1,0,95.8,0.7142857142857143
4773919,Thomas Castellanos,Boston College,ACC,1,10,16,106,2,0,,0.625
4429020,D.J. Uiagalelei,Florida State,ACC,1,21,42,272,1,1,,0.5
5110101,EJ Caminong,California,ACC,1,6,19,57,0,0,16.3,0.3157894736842105
4686788,CJ Harris,California,ACC,1,13,20,109,0,0,40.2,0.65
5075392,Keldric Luster,SMU,ACC,1,0,1,0,0,0,2.7,0.0
5084084,Kevin Jennings,SMU,ACC,1,20,36,195,1,3,13.3,0.5555555555555556
5144078,Ethan Grunkemeyer,Penn State,Big Ten,1,1,2,9,0,1,7.3,0.5
4431459,Tyler Warren,Penn State,Big Ten,1,0,1,0,0,0,6.5,0.0
4714771,Drew Allar,Penn State,Big Ten,1,13,22,127,0,0,56.3,0.5909090909090909
4889929,Quinn Ewers,Texas,SEC,1,17,24,202,1,1,87.5,0.7083333333333334
4685413,Cade Klubnik,Clemson,ACC,1,26,43,336,3,1,81.8,0.6046511627906976
4429801,Tucker Gleason,Toledo,Mid-American,1,26,50,336,2,1,66.6,0.52
5154302,David Lynch,Pittsburgh,ACC,1,10,18,65,0,2,4.2,0.5555555555555556
5155864,Julian Dugger,Pittsburgh,ACC,1,7,13,72,2,1,74.6,0.5384615384615384
4708049,Gavin Bartholomew,Pittsburgh,ACC,1,0,1,0,0,0,0.3,0.0
5084180,Diego Pavia,Vanderbilt,SEC,1,13,21,160,3,0,83.8,0.6190476190476191
4428993,Haynes King,Georgia Tech,ACC,1,25,33,204,3,1,36.9,0.7575757575757576
4433971,Kyle McCord,Syracuse,ACC,1,24,34,453,5,0,94.3,0.7058823529411765
5144313,Michael Merdinger,North Carolina,ACC,1,9,12,86,0,1,3.0,0.75
4429463,Jacolby Criswell,North Carolina,ACC,1,1,1,7,0,0,54.2,1.0
4595341,Caleb Hood,North Carolina,ACC,1,1,1,17,1,0,63.0,1.0
4570906,Brian Buschini,Nebraska,Big Ten,1,1,1,8,0,0,100.0,1.0
5079572,Dylan Raiola,Nebraska,Big Ten,1,22,30,224,1,1,75.0,0.7333333333333333
4567707,Grayson James,Boston College,ACC,1,26,41,301,0,0,45.3,0.6341463414634146
4801299,Rocco Becht,Iowa State,Big 12,1,22,36,270,3,0,77.2,0.6111111111111112
5075800,Emory Williams,Miami,ACC,1,5,14,26,0,1,16.6,0.35714285714285715
4688380,Cameron Ward,Miami,ACC,1,12,19,190,3,0,97.6,0.631578947368421
5079301,CJ Bailey,NC State,ACC,1,19,26,230,3,1,45.4,0.7307692307692307
4795295,Katin Houser,East Carolina,American Athletic,1,18,29,147,0,2,55.7,0.6206896551724138
5079653,Demond Williams Jr.,Washington,Big Ten,1,26,32,374,4,1,85.2,0.8125
4429145,Harrison Bailey,Louisville,ACC,1,16,25,164,3,0,92.1,0.64
4570688,Caden Davis,Ole Miss,SEC,1,0,1,0,0,1,0.0,0.0
5141684,Austin Simmons,Ole Miss,SEC,1,1,1,34,0,0,100.0,1.0
4689114,Jaxson Dart,Ole Miss,SEC,1,27,35,404,4,0,95.2,0.7714285714285715
4708487,Jaquez Moore,Duke,ACC,1,0,1,0,0,0,7.7,0.0
4685252,Henry Belin IV,Duke,ACC,1,25,44,236,2,1,51.8,0.5681818181818182
4920153,William Watson III,Virginia Tech,ACC,1,8,12,81,0,1,15.4,0.6666666666666666
4428439,Collin Schlee,Virginia Tech,ACC,1,2,6,68,0,0,64.5,0.3333333333333333
4573398,Max Brosmer,Minnesota,Big Ten,1,18,29,211,1,1,75.9,0.6206896551724138
4920901,Darius Taylor,Minnesota,Big Ten,1,1,1,10,1,0,100.0,1.0
5144959,Drake Lindsey,Minnesota,Big Ten,1,1,1,15,0,0,99.8,1.0
4430590,Payton Thorne,Auburn,SEC,2,14,27,165,1,4,28.9,0.5185185185185185
4837248,Fernando Mendoza,California,ACC,2,25,36,233,2,0,84.8,0.6944444444444444
4697512,Robby Ashford,South Carolina,SEC,2,1,1,7,0,0,22.8,1.0
4875127,Lanorris Sellers,South Carolina,SEC,2,11,15,159,2,1,54.5,0.7333333333333333
4432782,Brock Vandagriff,Kentucky,SEC,2,3,10,30,0,1,1.2,0.3
4893657,Gavin Wimsatt,Kentucky,SEC,2,3,7,14,0,1,49.5,0.42857142857142855
4427936,Grayson McCall,NC State,ACC,2,15,22,104,0,1,22.7,0.6818181818181818
4870799,Nico Iamaleava,Tennessee,SEC,2,16,23,211,2,2,76.9,0.6956521739130435
4431574,Eli Stowers,Vanderbilt,SEC,2,1,1,17,1,0,100.0,1.0
5084180,Diego Pavia,Vanderbilt,SEC,2,10,13,83,0,0,53.0,0.7692307692307693
4362159,Alan Bowman,Oklahoma State,Big 12,2,27,48,326,1,1,64.2,0.5625
4431325,Taylen Green,Arkansas,SEC,2,26,45,416,1,1,58.1,0.5777777777777777
-5237, Team,Arkansas,SEC,2,0,1,0,0,0,,0.0
4878681,Davis Warren,Michigan,Big Ten,2,22,33,204,1,2,47.6,0.6666666666666666
4889929,Quinn Ewers,Texas,SEC,2,24,36,246,3,0,89.6,0.6666666666666666
4870607,Jackson Arnold,Oklahoma,SEC,2,19,32,174,2,1,37.5,0.59375
4690977,Donovan Smith,Houston,Big 12,2,24,28,260,1,1,83.5,0.8571428571428571
5141684,Austin Simmons,Ole Miss,SEC,2,2,4,20,0,0,7.2,0.5
4689114,Jaxson Dart,Ole Miss,SEC,2,25,27,377,1,0,84.2,0.9259259259259259
4682518,Nick Vattiato,Middle Tennessee,Conference USA,2,21,33,209,0,1,47.9,0.6363636363636364
5194626,Roman Gagliano,Middle Tennessee,Conference USA,2,4,7,41,0,0,28.6,0.5714285714285714
4430841,Carson Beck,Georgia,SEC,2,18,25,242,5,0,83.0,0.72
4685578,Gunner Stockton,Georgia,SEC,2,10,12,90,0,0,38.0,0.8333333333333334
4877296,CJ Ogbonna,Buffalo,Mid-American,2,6,20,55,0,1,7.0,0.3
4429088,Drew Pyne,Missouri,SEC,2,6,6,35,0,0,31.5,1.0
4429435,Brady Cook,Missouri,SEC,2,28,36,228,0,1,80.8,0.7777777777777778
4432734,Jalen Milroe,Alabama,SEC,2,16,26,194,2,0,50.5,0.6153846153846154
4880272,Byrum Brown,South Florida,American Athletic,2,15,35,103,0,0,52.2,0.42857142857142855
4806463,Bryce Archie,South Florida,American Athletic,2,1,1,0,0,0,34.0,1.0
5078810,Sam Leavitt,Arizona State,Big 12,2,10,20,69,0,0,74.6,0.5
4565315,Blake Shapen,Mississippi State,SEC,2,18,28,268,2,0,71.6,0.6428571428571429
4567747,Garrett Nussmeier,LSU,SEC,2,27,37,302,6,0,82.4,0.7297297297297297
4870645,Rickie Collins,LSU,SEC,2,1,1,12,0,0,46.3,1.0
4685574,Conner Weigman,Texas A&M,SEC,2,11,14,125,2,0,72.5,0.7857142857142857
4870971,Marcel Reed,Texas A&M,SEC,2,5,11,71,0,0,17.6,0.45454545454545453
5079555,D.J. Lagway,Florida,SEC,2,18,25,456,3,0,85.1,0.72
-5989, Team,Florida,SEC,2,0,1,0,0,0,,0.0
5155039,Aidan Warner,Florida,SEC,2,1,2,10,0,0,99.6,0.5
4430590,Payton Thorne,Auburn,SEC,2,14,27,165,1,4,28.9,0.5185185185185185
