,player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate
76,4889929,Quinn Ewers,Texas,SEC,Arizona State,20,30,322,10.7,3,1,91.9,1,0.6666666666666666,10.733333333333333,0.1,0.0333333333333333
77,4570688,Caden Davis,Ole Miss,SEC,Duke,0,1,0,0.0,0,1,0.0,1,0.0,0.0,0.0,1.0
78,5141684,Austin Simmons,Ole Miss,SEC,Duke,1,1,34,34.0,0,0,100.0,1,1.0,34.0,0.0,0.0
79,4689114,Jaxson Dart,Ole Miss,SEC,Duke,27,35,404,11.5,4,0,95.2,1,0.7714285714285715,11.542857142857144,0.1142857142857142,0.0
80,4708487,Jaquez Moore,Duke,ACC,Ole Miss,0,1,0,0.0,0,0,7.7,1,0.0,0.0,0.0,0.0
81,4685252,Henry Belin IV,Duke,ACC,Ole Miss,25,44,236,5.4,2,1,51.8,1,0.5681818181818182,5.363636363636363,0.0454545454545454,0.0227272727272727
82,4889929,Quinn Ewers,Texas,SEC,Ohio State,23,39,283,7.3,2,1,69.6,1,0.5897435897435898,7.256410256410256,0.0512820512820512,0.0256410256410256
83,4429955,Will Howard,Ohio State,Big Ten,Texas,24,33,289,8.8,1,1,90.0,1,0.7272727272727273,8.757575757575758,0.0303030303030303,0.0303030303030303
84,4428993,Haynes King,Georgia Tech,ACC,Florida State,11,16,146,9.1,0,0,70.4,1,0.6875,9.125,0.0,0.0
85,4429020,D.J. Uiagalelei,Florida State,ACC,Georgia Tech,19,27,193,7.1,0,0,77.7,1,0.7037037037037037,7.148148148148148,0.0,0.0
86,4432767,Preston Stone,SMU,ACC,Nevada,17,30,254,8.5,1,1,60.5,1,0.5666666666666667,8.466666666666667,0.0333333333333333,0.0333333333333333
87,5084084,Kevin Jennings,SMU,ACC,Nevada,4,5,54,10.8,0,0,74.5,1,0.8,10.8,0.0,0.0
88,4426499,Hank Bachmeier,Wake Forest,ACC,North Carolina A&T,18,28,263,9.4,3,0,64.0,1,0.6428571428571429,9.392857142857142,0.1071428571428571,0.0
89,4567031,Michael Kern,Wake Forest,ACC,North Carolina A&T,5,8,57,7.1,0,0,19.0,1,0.625,7.125,0.0,0.0
90,4427936,Grayson McCall,NC State,ACC,Western Carolina,26,40,318,8.0,3,1,48.8,1,0.65,7.95,0.075,0.025
91,4573398,Max Brosmer,Minnesota,Big Ten,North Carolina,13,21,166,7.9,0,0,47.7,1,0.6190476190476191,7.904761904761905,0.0,0.0
92,-6685, Team,Minnesota,Big Ten,North Carolina,0,1,0,0.0,0,0,,1,0.0,0.0,0.0,0.0
93,4685740,Max Johnson,North Carolina,ACC,Minnesota,12,19,71,3.7,0,1,37.0,1,0.631578947368421,3.736842105263158,0.0,0.0526315789473684
94,4801306,Conner Harrell,North Carolina,ACC,Minnesota,2,4,34,8.5,0,0,0.1,1,0.5,8.5,0.0,0.0
95,4685497,Maalik Murphy,Duke,ACC,Elon,26,40,291,7.3,2,1,34.2,1,0.65,7.275,0.05,0.025
96,4838679,Ashton Daniels,Stanford,ACC,TCU,17,35,163,4.7,1,1,12.5,1,0.4857142857142857,4.6571428571428575,0.0285714285714285,0.0285714285714285
97,4684502,Justin Lamson,Stanford,ACC,TCU,1,1,2,2.0,1,0,100.0,1,1.0,2.0,1.0,0.0
98,4685401,Josh Hoover,TCU,Big 12,Stanford,28,42,353,8.4,2,0,65.4,1,0.6666666666666666,8.404761904761905,0.0476190476190476,0.0
99,4870636,Pierce Clarkson,Louisville,ACC,Austin Peay,3,4,11,2.8,0,0,0.6,1,0.75,2.75,0.0,0.0
100,4429145,Harrison Bailey,Louisville,ACC,Austin Peay,6,6,35,5.8,0,0,46.2,1,1.0,5.833333333333333,0.0,0.0
101,4360689,Tyler Shough,Louisville,ACC,Austin Peay,18,24,232,9.7,4,0,83.3,1,0.75,9.666666666666666,0.1666666666666666,0.0
102,5084180,Diego Pavia,Vanderbilt,SEC,Virginia Tech,12,16,190,11.9,2,0,82.6,1,0.75,11.875,0.125,0.0
103,4428439,Collin Schlee,Virginia Tech,ACC,Vanderbilt,0,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0
104,4678010,Kyron Drones,Virginia Tech,ACC,Vanderbilt,22,33,322,9.8,2,1,58.1,1,0.6666666666666666,9.757575757575758,0.0606060606060606,0.0303030303030303
105,4870819,Eli Holstein,Pittsburgh,ACC,Kent State,30,40,333,8.3,3,1,54.6,1,0.75,8.325,0.075,0.025
106,4683182,Nate Yarnell,Pittsburgh,ACC,Kent State,4,8,33,4.1,1,0,50.2,1,0.5,4.125,0.125,0.0
107,4685693,Devin Kargman,Kent State,Mid-American,Pittsburgh,14,28,181,6.5,2,1,54.3,1,0.5,6.464285714285714,0.0714285714285714,0.0357142857142857
108,4430841,Carson Beck,Georgia,SEC,Clemson,23,33,278,8.4,2,0,91.7,1,0.696969696969697,8.424242424242424,0.0606060606060606,0.0
109,4685413,Cade Klubnik,Clemson,ACC,Georgia,18,29,142,4.9,0,1,40.8,1,0.6206896551724138,4.896551724137931,0.0,0.0344827586206896
110,4433971,Kyle McCord,Syracuse,ACC,Ohio,27,39,354,9.1,4,1,82.1,1,0.6923076923076923,9.076923076923077,0.1025641025641025,0.0256410256410256
111,-7579, Team,Syracuse,ACC,Ohio,0,1,0,0.0,0,0,,1,0.0,0.0,0.0,0.0
112,4610131,Parker Navarro,Ohio,Mid-American,Syracuse,18,30,181,6.0,0,1,17.2,1,0.6,6.033333333333333,0.0,0.0333333333333333
113,4431353,Xavier Restrepo,Miami,ACC,Florida,0,1,0,0.0,0,0,1.1,1,0.0,0.0,0.0,0.0
114,4688380,Cameron Ward,Miami,ACC,Florida,26,35,385,11.0,3,1,95.7,1,0.7428571428571429,11.0,0.0857142857142857,0.0285714285714285
115,4426335,Graham Mertz,Florida,SEC,Miami,11,20,91,4.6,0,1,19.1,1,0.55,4.55,0.0,0.05
116,5079555,D.J. Lagway,Florida,SEC,Miami,3,6,31,5.2,0,1,57.4,1,0.5,5.166666666666667,0.0,0.1666666666666666
117,4837248,Fernando Mendoza,California,ACC,UC Davis,15,22,158,7.2,1,0,59.3,1,0.6818181818181818,7.181818181818182,0.0454545454545454,0.0
118,4570554,Chandler Rogers,California,ACC,UC Davis,3,6,21,3.5,0,0,3.0,1,0.5,3.5,0.0,0.0
119,5044387,Anthony Colandrea,Virginia,ACC,Richmond,17,23,297,12.9,2,0,77.8,1,0.7391304347826086,12.91304347826087,0.0869565217391304,0.0
120,4775264,Tony Muskett,Virginia,ACC,Richmond,0,3,0,0.0,0,1,0.1,1,0.0,0.0,0.0,0.3333333333333333
121,4432612,Christian Veilleux,Georgia State,Sun Belt,Georgia Tech,19,34,210,6.2,1,0,67.7,1,0.5588235294117647,6.176470588235294,0.0294117647058823,0.0
122,4746127,Zach Pyron,Georgia Tech,ACC,Georgia State,1,1,-1,-1.0,0,0,91.5,1,1.0,-1.0,0.0,0.0
123,4428993,Haynes King,Georgia Tech,ACC,Georgia State,24,29,275,9.5,2,1,82.6,1,0.8275862068965517,9.482758620689657,0.0689655172413793,0.0344827586206896
124,4432767,Preston Stone,SMU,ACC,Houston Christian,6,9,78,8.7,2,0,58.8,1,0.6666666666666666,8.666666666666666,0.2222222222222222,0.0
125,5084084,Kevin Jennings,SMU,ACC,Houston Christian,10,14,148,10.6,1,0,95.8,1,0.7142857142857143,10.571428571428571,0.0714285714285714,0.0
126,4773919,Thomas Castellanos,Boston College,ACC,Florida State,10,16,106,6.6,2,0,,1,0.625,6.625,0.125,0.0
127,4429020,D.J. Uiagalelei,Florida State,ACC,Boston College,21,42,272,6.5,1,1,,1,0.5,6.476190476190476,0.0238095238095238,0.0238095238095238
128,5110101,EJ Caminong,California,ACC,UNLV,6,19,57,3.0,0,0,16.3,1,0.3157894736842105,3.0,0.0,0.0
129,4686788,CJ Harris,California,ACC,UNLV,13,20,109,5.5,0,0,40.2,1,0.65,5.45,0.0,0.0
130,5075392,Keldric Luster,SMU,ACC,Penn State,0,1,0,0.0,0,0,2.7,1,0.0,0.0,0.0,0.0
131,5084084,Kevin Jennings,SMU,ACC,Penn State,20,36,195,5.4,1,3,13.3,1,0.5555555555555556,5.416666666666667,0.0277777777777777,0.0833333333333333
132,5144078,Ethan Grunkemeyer,Penn State,Big Ten,SMU,1,2,9,4.5,0,1,7.3,1,0.5,4.5,0.0,0.5
133,4431459,Tyler Warren,Penn State,Big Ten,SMU,0,1,0,0.0,0,0,6.5,1,0.0,0.0,0.0,0.0
134,4714771,Drew Allar,Penn State,Big Ten,SMU,13,22,127,5.8,0,0,56.3,1,0.5909090909090909,5.7727272727272725,0.0,0.0
135,4889929,Quinn Ewers,Texas,SEC,Clemson,17,24,202,8.4,1,1,87.5,1,0.7083333333333334,8.416666666666666,0.0416666666666666,0.0416666666666666
136,4685413,Cade Klubnik,Clemson,ACC,Texas,26,43,336,7.8,3,1,81.8,1,0.6046511627906976,7.813953488372093,0.0697674418604651,0.0232558139534883
137,4429801,Tucker Gleason,Toledo,Mid-American,Pittsburgh,26,50,336,6.7,2,1,66.6,1,0.52,6.72,0.04,0.02
138,5154302,David Lynch,Pittsburgh,ACC,Toledo,10,18,65,3.6,0,2,4.2,1,0.5555555555555556,3.611111111111111,0.0,0.1111111111111111
139,5155864,Julian Dugger,Pittsburgh,ACC,Toledo,7,13,72,5.5,2,1,74.6,1,0.5384615384615384,5.538461538461538,0.1538461538461538,0.0769230769230769
140,4708049,Gavin Bartholomew,Pittsburgh,ACC,Toledo,0,1,0,0.0,0,0,0.3,1,0.0,0.0,0.0,0.0
141,5084180,Diego Pavia,Vanderbilt,SEC,Georgia Tech,13,21,160,7.6,3,0,83.8,1,0.6190476190476191,7.619047619047619,0.1428571428571428,0.0
142,4428993,Haynes King,Georgia Tech,ACC,Vanderbilt,25,33,204,6.2,3,1,36.9,1,0.7575757575757576,6.181818181818182,0.0909090909090909,0.0303030303030303
143,4433971,Kyle McCord,Syracuse,ACC,Washington State,24,34,453,13.3,5,0,94.3,1,0.7058823529411765,13.323529411764708,0.1470588235294117,0.0
144,5144313,Michael Merdinger,North Carolina,ACC,UConn,9,12,86,7.2,0,1,3.0,1,0.75,7.166666666666667,0.0,0.0833333333333333
145,4429463,Jacolby Criswell,North Carolina,ACC,UConn,1,1,7,7.0,0,0,54.2,1,1.0,7.0,0.0,0.0
146,4595341,Caleb Hood,North Carolina,ACC,UConn,1,1,17,17.0,1,0,63.0,1,1.0,17.0,1.0,0.0
147,4570906,Brian Buschini,Nebraska,Big Ten,Boston College,1,1,8,8.0,0,0,100.0,1,1.0,8.0,0.0,0.0
148,5079572,Dylan Raiola,Nebraska,Big Ten,Boston College,22,30,224,7.5,1,1,75.0,1,0.7333333333333333,7.466666666666667,0.0333333333333333,0.0333333333333333
149,4567707,Grayson James,Boston College,ACC,Nebraska,26,41,301,7.3,0,0,45.3,1,0.6341463414634146,7.341463414634147,0.0,0.0
150,4801299,Rocco Becht,Iowa State,Big 12,Miami,22,36,270,7.5,3,0,77.2,1,0.6111111111111112,7.5,0.0833333333333333,0.0
151,5075800,Emory Williams,Miami,ACC,Iowa State,5,14,26,1.9,0,1,16.6,1,0.3571428571428571,1.8571428571428568,0.0,0.0714285714285714
152,4688380,Cameron Ward,Miami,ACC,Iowa State,12,19,190,10.0,3,0,97.6,1,0.631578947368421,10.0,0.1578947368421052,0.0
153,5079301,CJ Bailey,NC State,ACC,East Carolina,19,26,230,8.8,3,1,45.4,1,0.7307692307692307,8.846153846153847,0.1153846153846153,0.0384615384615384
154,4795295,Katin Houser,East Carolina,American Athletic,NC State,18,29,147,5.1,0,2,55.7,1,0.6206896551724138,5.068965517241379,0.0,0.0689655172413793
155,5079653,Demond Williams Jr.,Washington,Big Ten,Louisville,26,32,374,11.7,4,1,85.2,1,0.8125,11.6875,0.125,0.03125
156,4429145,Harrison Bailey,Louisville,ACC,Washington,16,25,164,6.6,3,0,92.1,1,0.64,6.56,0.12,0.0
157,4570688,Caden Davis,Ole Miss,SEC,Duke,0,1,0,0.0,0,1,0.0,1,0.0,0.0,0.0,1.0
158,5141684,Austin Simmons,Ole Miss,SEC,Duke,1,1,34,34.0,0,0,100.0,1,1.0,34.0,0.0,0.0
159,4689114,Jaxson Dart,Ole Miss,SEC,Duke,27,35,404,11.5,4,0,95.2,1,0.7714285714285715,11.542857142857144,0.1142857142857142,0.0
160,4708487,Jaquez Moore,Duke,ACC,Ole Miss,0,1,0,0.0,0,0,7.7,1,0.0,0.0,0.0,0.0
161,4685252,Henry Belin IV,Duke,ACC,Ole Miss,25,44,236,5.4,2,1,51.8,1,0.5681818181818182,5.363636363636363,0.0454545454545454,0.0227272727272727
162,4920153,William Watson III,Virginia Tech,ACC,Minnesota,8,12,81,6.8,0,1,15.4,1,0.6666666666666666,6.75,0.0,0.0833333333333333
163,4428439,Collin Schlee,Virginia Tech,ACC,Minnesota,2,6,68,11.3,0,0,64.5,1,0.3333333333333333,11.333333333333334,0.0,0.0
164,4573398,Max Brosmer,Minnesota,Big Ten,Virginia Tech,18,29,211,7.3,1,1,75.9,1,0.6206896551724138,7.275862068965517,0.0344827586206896,0.0344827586206896
165,4920901,Darius Taylor,Minnesota,Big Ten,Virginia Tech,1,1,10,10.0,1,0,100.0,1,1.0,10.0,1.0,0.0
166,5144959,Drake Lindsey,Minnesota,Big Ten,Virginia Tech,1,1,15,15.0,0,0,99.8,1,1.0,15.0,0.0,0.0
167,4430590,Payton Thorne,Auburn,SEC,California,14,27,165,6.1,1,4,28.9,2,0.5185185185185185,6.111111111111111,0.037037037037037,0.1481481481481481
168,4837248,Fernando Mendoza,California,ACC,Auburn,25,36,233,6.5,2,0,84.8,2,0.6944444444444444,6.472222222222222,0.0555555555555555,0.0
169,4697512,Robby Ashford,South Carolina,SEC,Kentucky,1,1,7,7.0,0,0,22.8,2,1.0,7.0,0.0,0.0
170,4875127,Lanorris Sellers,South Carolina,SEC,Kentucky,11,15,159,10.6,2,1,54.5,2,0.7333333333333333,10.6,0.1333333333333333,0.0666666666666666
171,4432782,Brock Vandagriff,Kentucky,SEC,South Carolina,3,10,30,3.0,0,1,1.2,2,0.3,3.0,0.0,0.1
172,4893657,Gavin Wimsatt,Kentucky,SEC,South Carolina,3,7,14,2.0,0,1,49.5,2,0.4285714285714285,2.0,0.0,0.1428571428571428
173,4427936,Grayson McCall,NC State,ACC,Tennessee,15,22,104,4.7,0,1,22.7,2,0.6818181818181818,4.727272727272728,0.0,0.0454545454545454
174,4870799,Nico Iamaleava,Tennessee,SEC,NC State,16,23,211,9.2,2,2,76.9,2,0.6956521739130435,9.173913043478262,0.0869565217391304,0.0869565217391304
175,4431574,Eli Stowers,Vanderbilt,SEC,Alcorn State,1,1,17,17.0,1,0,100.0,2,1.0,17.0,1.0,0.0
