Rk,Player ID,Player,Team,Team_id,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
157,4691272,Stone Earle,Marshall,276,Sun Belt,9,65,120,54.2,673,7,5.8,2,1.7,5.6,6.03,10.4,74.8,117.2,,stone-earle-1
298,4869817,Cole Pennington,Marshall,276,Sun Belt,3,5,7,71.4,57,1,14.3,0,0,8.1,11,11.4,19,187,,cole-pennington-1
80,4429847,Garrett Greene,West Virginia,277,Big 12,11,189,315,60,2300,15,4.8,12,3.8,7.3,6.54,12.2,209.1,129.4,,garrett-greene-1
188,4685459,Nicco Marchiol,West Virginia,277,Big 12,8,37,56,66.1,434,5,8.9,2,3.6,7.8,7.93,11.7,54.3,153.5,,nicco-marchiol-1
35,4597499,Mikey Keene,Fresno State,278,MWC,12,277,393,70.5,2892,18,4.6,11,2.8,7.4,7.02,10.4,241,141.8,,mikey-keene-1
240,4832830,Joshua Wood,Fresno State,278,MWC,13,18,28,64.3,195,1,3.6,1,3.6,7,6.07,10.8,15,127.4,,joshua-wood-1
359,4872957,Raylen Sharpe,Fresno State,278,MWC,11,1,1,100,26,1,100,0,0,26,46,26,2.4,648.4,,raylen-sharpe-1
329,5010409,Jayden Mandal,Fresno State,278,MWC,6,4,9,44.4,39,0,0,2,22.2,4.3,-5.67,9.8,6.5,36.4,,jayden-mandal-1
225,4565355,Dexter Williams II,Georgia Southern,290,Sun Belt,5,19,30,63.3,248,3,10,0,0,8.3,10.27,13.1,49.6,165.8,,dexter-williams-ii-1
40,4685345,JC French,Georgia Southern,290,Sun Belt,13,269,410,65.6,2831,17,4.1,11,2.7,6.9,6.53,10.5,217.8,131.9,,jc-french-1
409,4838269,OJ Arnold,Georgia Southern,290,Sun Belt,12,1,1,100,12,1,100,0,0,12,32,12,1,530.8,,oj-arnold-1
460,4907573,Dalen Cobb,Georgia Southern,290,Sun Belt,13,0,3,0,0,0,0,0,0,0,0,,0,0,,dalen-cobb-1
174,4695867,Grant Wilson,Old Dominion,295,Sun Belt,3,48,86,55.8,507,4,4.7,3,3.5,5.9,5.26,10.6,169,113.7,,grant-wilson-1
106,5125715,Colton Joseph,Old Dominion,295,Sun Belt,9,133,222,59.9,1627,11,5,5,2.3,7.3,7.31,12.2,180.8,133.3,,colton-joseph-1
246,5193346,Quinn Henicle,Old Dominion,295,Sun Belt,3,14,25,56,181,2,8,1,4,7.2,7.04,12.9,60.3,135.2,,quinn-henicle-1
71,4373895,Ben Wooldridge,Louisiana,309,Sun Belt,11,192,291,66,2453,17,5.8,6,2.1,8.4,8.67,12.8,223,151.9,,ben-wooldridge-1
147,4429595,Chandler Fields,Louisiana,309,Sun Belt,7,63,87,72.4,897,5,5.7,1,1.1,10.3,10.94,14.2,128.1,175.7,,chandler-fields-1
261,5146661,Daniel Beale,Louisiana,309,Sun Belt,3,13,30,43.3,126,0,0,2,6.7,4.2,1.2,9.7,42,65.3,,daniel-beale-1
206,4690158,Noah Kim,Coastal Carolina,324,Sun Belt,7,30,56,53.6,333,4,7.1,1,1.8,5.9,6.57,11.1,47.6,123.5,,noah-kim-1
483,4708621,Kyre Duplessis,Coastal Carolina,324,Sun Belt,12,0,3,0,0,0,0,1,33.3,0,-15,,0,-66.7,,kyre-duplessis-1
88,4832918,Ethan Vasko,Coastal Carolina,324,Sun Belt,12,148,271,54.6,2110,14,5.2,8,3,7.8,7.49,14.3,175.8,131.2,,ethan-vasko-1
251,4870793,Tad Hudson,Coastal Carolina,324,Sun Belt,1,17,26,65.4,173,2,7.7,0,0,6.7,8.19,10.2,173,146.7,,tad-hudson-1
464,5221100,Emile Sebafundi,Coastal Carolina,324,Sun Belt,13,0,1,0,0,0,0,1,100,0,-45,,0,-200,,emile-sebafundi-1
19,4360890,Jordan McCloud,Texas State,326,Sun Belt,13,273,389,70.2,3227,30,7.7,13,3.3,8.3,8.33,11.8,248.2,158.6,,jordan-mccloud-1
258,4876244,RJ Martinez,Texas State,326,Sun Belt,4,18,24,75,148,0,0,1,4.2,6.2,4.29,8.2,37,118.5,,rj-martinez-1
267,5148803,Brad Jackson,Texas State,326,Sun Belt,3,8,15,53.3,118,1,6.7,0,0,7.9,9.2,14.8,39.3,141.4,,brad-jackson-2
79,4360480,Spencer Petras,Utah State,328,MWC,9,214,327,65.4,2315,17,5.2,11,3.4,7.1,6.61,10.8,257.2,135.3,,spencer-petras-1
149,4695600,Bryson Barnes,Utah State,328,MWC,9,77,126,61.1,856,12,9.5,6,4.8,6.8,6.56,11.1,95.1,140.1,,bryson-barnes-1
371,4696561,Jacob Conover,Utah State,328,MWC,2,2,4,50,22,0,0,0,0,5.5,5.5,11,11,96.2,,jacob-conover-1
334,4702560,Grant Page,Utah State,328,MWC,12,1,1,100,36,0,0,0,0,36,36,36,3,402.4,,grant-page-1
39,4432734,Jalen Milroe,Alabama,333,SEC,13,205,319,64.3,2844,16,5,11,3.4,8.9,8.37,13.9,218.8,148.8,,jalen-milroe-1
254,4685522,Ty Simpson,Alabama,333,SEC,6,14,25,56,167,0,0,0,0,6.7,6.68,11.9,27.8,112.1,,ty-simpson-1
365,4870900,Dylan Lonergan,Alabama,333,SEC,2,5,6,83.3,23,0,0,0,0,3.8,3.83,4.6,11.5,115.5,,dylan-lonergan-1
328,5079508,Austin Mack,Alabama,333,SEC,1,2,3,66.7,39,1,33.3,0,0,13,19.67,19.5,39,285.9,,austin-mack-2
300,4801308,Khalib Johnson,Kennesaw State,338,CUSA,4,6,22,27.3,57,0,0,3,13.6,2.6,-3.55,9.5,14.3,21.8,,khalib-johnson-1
118,5083103,Davis Bryson,Kennesaw State,338,CUSA,11,143,261,54.8,1495,6,2.3,10,3.8,5.7,4.46,10.5,135.9,102.8,,davis-bryson-1
303,5083104,Braden Bohannon,Kennesaw State,338,CUSA,5,5,10,50,51,0,0,0,0,5.1,5.1,10.2,10.2,92.8,,braden-bohannon-1
339,5154245,Jacob Ulrich,Kennesaw State,338,CUSA,12,1,1,100,32,0,0,0,0,32,32,32,2.7,368.8,,jacob-ulrich-1
443,5221569,Lucas Scheerhorn,Kennesaw State,338,CUSA,3,1,3,33.3,1,0,0,1,33.3,0.3,-14.67,1,0.3,-30.5,,lucas-scheerhorn-1
140,4565315,Blake Shapen,Mississippi State,344,SEC,4,74,108,68.5,974,8,7.4,1,0.9,9,10.08,13.2,243.5,166.9,,blake-shapen-1
413,4569416,Nicholas Barr-Mira,Mississippi State,344,SEC,12,1,1,100,11,0,0,0,0,11,11,11,0.9,192.4,,nicholas-barr-mira-1
455,4870889,Chris Parson,Mississippi State,344,SEC,4,0,2,0,0,0,0,0,0,0,0,,0,0,,chris-parson-1
98,5079620,Michael Van Buren Jr.,Mississippi State,344,SEC,10,140,256,54.7,1886,11,4.3,7,2.7,7.4,7,13.5,188.6,125.3,,michael-van-buren-jr-1
505,4689825,Tyrell Robinson,Army,349,American,8,0,1,0,0,0,0,0,0,0,0,,0,0,,tyrell-robinson-2
137,4879928,Bryson Daily,Army,349,American,13,54,103,52.4,1007,9,8.7,4,3.9,9.8,9.78,18.6,77.5,155.6,H-6,bryson-daily-1
490,4879966,Matthew Rhodes,Army,349,American,14,0,1,0,0,0,0,0,0,0,0,,0,0,,matthew-rhodes-2
265,5082125,Dewayne Coleman,Army,349,American,7,11,16,68.8,121,1,6.3,0,0,7.6,8.81,11,17.3,152.9,,dewayne-coleman-1
471,5150302,James Wagenseller,Army,349,American,12,1,1,100,0,0,0,0,0,0,0,0,0,100,,james-wagenseller-1
50,4597679,Luke Altmyer,Illinois,356,Big Ten,13,211,347,60.8,2717,22,6.3,6,1.7,7.8,8.32,12.9,209,144,,luke-altmyer-1
346,4790965,Donovan Leary,Illinois,356,Big Ten,2,2,5,40,29,0,0,0,0,5.8,5.8,14.5,14.5,88.7,,donovan-leary-2
263,4695458,Josh Johnson,Air Force,2005,MWC,6,6,14,42.9,126,1,7.1,3,21.4,9,0.79,21,21,99.2,,josh-johnson-10
282,5085146,Brandon Engel,Air Force,2005,MWC,11,2,2,100,81,0,0,0,0,40.5,40.5,40.5,7.4,440.2,,brandon-engel-1
194,5151904,John Busha,Air Force,2005,MWC,6,29,79,36.7,415,1,1.3,5,6.3,5.3,2.66,14.3,69.2,72.4,,john-busha-1
185,5223107,Quentin Hayes,Air Force,2005,MWC,10,25,43,58.1,455,3,7,2,4.7,10.6,9.88,18.2,45.5,160.7,,quentin-hayes-2
57,4431091,Ben Finley,Akron,2006,MAC,12,212,387,54.8,2604,16,4.1,9,2.3,6.7,6.51,12.3,217,120.3,,ben-finley-1
248,4684003,Tahj Bullock,Akron,2006,MAC,12,21,29,72.4,176,0,0,0,0,6.1,6.07,8.4,14.7,123.4,,tahj-bullock-1
421,5146903,Brayden Roggow,Akron,2006,MAC,1,1,2,50,9,0,0,1,50,4.5,-18,9,9,-12.2,,brayden-roggow-1
255,4433969,Timmy Mcclain,Arkansas State,2032,Sun Belt,4,14,21,66.7,163,3,14.3,0,0,7.8,10.62,11.6,40.8,179,,timmy-mcclain-1
