player_name,player_id,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
Sam Leavitt,5078810,Arizona State,Big 12,Season,145,239,1628,6.811715481171548,10,3,62.08535564853557,9,0.606694560669456
Sam Vidlak,4683311,Stephen F. Austin,Southland,Season,205,304,2435,8.009868421052632,21,6,,15,0.6743421052631579
Samari Collier,4606658,Coastal Carolina,Sun Belt,Season,38,78,489,6.269230769230769,7,2,64.52307692307693,12,0.48717948717948717
Sawyer Robertson,4432759,Baylor,Big 12,Season,304,503,3681,7.318091451292246,31,12,65.88091451292246,14,0.6043737574552683
Scotty Fox Jr.,5164314,West Virginia,Big 12,Season,96,162,1158,7.148148148148148,6,4,45.01913580246914,14,0.5925925925925926
Skyler Locklear,5083042,UTEP,Conference USA,Season,116,208,1418,6.8173076923076925,13,11,41.84567307692308,14,0.5576923076923077
Sonny Mannino,5088964,Marist,Pioneer,Season,158,275,1771,6.44,11,3,,13,0.5745454545454546
Steven Angeli,4685694,Syracuse,ACC,Season,97,155,1317,8.496774193548386,10,2,65.7058064516129,4,0.6258064516129033
Stone Earle,4691272,Abilene Christian,UAC,Season,265,398,2931,7.364321608040201,18,10,,15,0.6658291457286433
TJ Finley,4431948,Georgia State,Sun Belt,Season,127,201,1244,6.189054726368159,6,7,37.38059701492537,12,0.6318407960199005
TJ Lateef,5141556,Nebraska,Big Ten,Season,74,123,904,7.349593495934959,5,1,58.40894308943089,14,0.6016260162601627
Ta'Quan Roberson,4427313,Buffalo,Mid-American,Season,206,356,2520,7.078651685393258,17,12,41.97668539325843,14,0.5786516853932584
Tad Hudson,4870793,Coastal Carolina,Sun Belt,Season,137,250,1235,4.94,6,7,35.4088,14,0.548
Tama Amisone,5296610,San José State,Mountain West,Season,26,49,205,4.183673469387755,0,3,54.17755102040817,14,0.5306122448979592
Taron Dickens,4881032,Western Carolina,Southern,Season,271,365,3508,9.610958904109589,38,2,,13,0.7424657534246575
Taylen Green,4431325,Arkansas,SEC,Season,198,326,2714,8.325153374233128,19,11,78.13067484662578,14,0.6073619631901841
Tayven Jackson,4801307,UCF,Big 12,Season,200,315,2151,6.828571428571428,10,8,53.40888888888889,14,0.6349206349206349
Te'Sean Smoot,4819240,Alabama State,SWAC,Season,57,80,959,11.9875,9,0,,14,0.7125
Tevin Carter,4801301,Prairie View A&M,SWAC,Season,52,96,512,5.333333333333333,1,1,,13,0.5416666666666666
Thomas Castellanos,4773919,Florida State,ACC,Season,180,309,2760,8.932038834951456,15,9,63.61003236245955,14,0.5825242718446602
Thomas Gotkowski,5142146,Miami (OH),Mid-American,Season,38,86,575,6.686046511627907,4,1,42.46046511627906,15,0.4418604651162791
Timmy McClain,4433969,Bethune-Cookman,SWAC,Season,74,104,763,7.336538461538462,3,2,,11,0.7115384615384616
