player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
5089540,Cole Gonzales,Pittsburgh,ACC,Duquesne,8,15,87,5.8,1,0,8.9,1,0.5333333333333333
4870819,Eli Holstein,Pittsburgh,ACC,Duquesne,15,23,215,9.3,4,1,74.4,1,0.6521739130434783
4878284,Tommy Rittenhouse,Illinois State,MVFC,Villanova,18,38,251,6.6,2,1,,1,0.47368421052631576
4875733,Pat McQuaide,Villanova,CAA,Illinois State,13,30,199,6.6,1,1,,1,0.43333333333333335
5154962,Kamden Sixkiller,Campbell,CAA,Rhode Island,17,33,144,4.4,1,0,,1,0.5151515151515151
4715345,Devin Farrell,Rhode Island,CAA,Campbell,15,28,275,9.8,2,0,,1,0.5357142857142857
4838536,Tyler Hughes,William & Mary,CAA,Furman,19,31,208,6.7,1,1,,1,0.6129032258064516
5224084,Trey Hedden,Furman,Southern,William & Mary,21,29,179,6.2,1,0,,1,0.7241379310344828
4695400,Mark Gronowski,Iowa,Big Ten,Vanderbilt,16,22,212,9.6,2,1,79.5,1,0.7272727272727273
5084180,Diego Pavia,Vanderbilt,SEC,Iowa,25,38,347,9.1,2,0,86.3,1,0.6578947368421053
5146661,Daniel Beale,Louisiana,Sun Belt,Rice,0,6,0,0.0,0,0,6.2,1,0.0
4685391,Walker Howard,Louisiana,Sun Belt,Rice,10,22,88,4.0,0,1,43.1,1,0.45454545454545453
4986096,Chase Jenkins,Rice,American Athletic,Louisiana,7,9,45,5.0,0,0,4.6,1,0.7777777777777778
5074245,Broc Lowry,Western Michigan,Mid-American,Kennesaw State,12,19,120,6.3,2,1,32.0,1,0.631578947368421
5153782,Amari Odom,Kennesaw State,Conference USA,Western Michigan,18,35,209,6.0,1,2,10.0,1,0.5142857142857142
4600403,Braylon Braxton,Southern Miss,Sun Belt,Mississippi State,26,39,199,5.1,2,1,52.3,1,0.6666666666666666
4565315,Blake Shapen,Mississippi State,SEC,Southern Miss,26,34,270,7.9,1,1,57.6,1,0.7647058823529411
4697625,Victor Gabalis,Tarleton State,UAC,Army,16,30,152,5.1,1,0,,1,0.5333333333333333
5082125,Dewayne Coleman,Army,American Athletic,Tarleton State,7,12,129,10.8,0,2,32.5,1,0.5833333333333334
4899468,Kaden Anderson,Wyoming,Mountain West,Akron,19,36,260,7.2,1,1,41.7,1,0.5277777777777778
4431091,Ben Finley,Akron,Mid-American,Wyoming,16,38,139,3.7,0,1,7.9,1,0.42105263157894735
5226585,Abram Johnston,Northwestern State,Southland,Alcorn State,9,18,85,4.7,1,1,,1,0.5
4878822,Jaylon Tolbert,Alcorn State,SWAC,Northwestern State,19,44,182,4.1,0,2,,1,0.4318181818181818
4876865,Carter Cravens,Morehead State,Pioneer,Allen,16,21,219,10.4,1,0,,1,0.7619047619047619
5303671,Jamir Dismukes,Allen,SIAC,Morehead State,26,38,309,8.1,2,0,,1,0.6842105263157895
4801306,Conner Harrell,Charlotte,American Athletic,App State,13,24,142,5.9,1,1,21.5,1,0.5416666666666666
5081405,AJ Swann,App State,Sun Belt,Charlotte,31,46,368,8.0,3,0,76.3,1,0.6739130434782609
